-DOCSTART- -X- -X- O

J NN NN O
U NN NN O
D NN NN O
G NN NN O
M NN NN O
E NN NN O
N NN NN O
T NN NN O
K NNP NNP O
. . . O
Ramaswamy NN NN O
, , , O
J NN NN O

After IN IN O
spending NN NN O
considerable JJ JJ O
time NN NN O
on IN IN O
diverse NN NN O
questions NNS NNS O
canvassed VBN VBN O
across IN IN O
the DT DT O
bar NN NN O
, , , O
we PRP PRP O
are VBP VBP O
of IN IN O
the DT DT O
opinion NN NN O
that IN IN O
this DT DT O
appeal NN NN O
requires VBZ VBZ O
to TO TO O
be VB VB O
posted VBN VBN O
before IN IN O
a DT DT O
Constitution NN NN O
Bench NN NN O
for IN IN O
deciding VBG VBG O
the DT DT O
questions NNS NNS O
that IN IN O
arise NN NN O
in IN IN O
the DT DT O
appeal NN NN O

We PRP PRP O
would MD MD O
, , , O
however RB RB O
, , , O
indicate NN NN O
in IN IN O
brief NN NN O
the DT DT O
facts NNS NNS O
, , , O
the DT DT O
findings NNS NNS O
recorded VBN VBN O
and CC CC O
the DT DT O
questions NNS NNS O
raised VBN VBN O
which WDT WDT O
impress NN NN O
us PRP PRP O
to TO TO O
refer NN NN O
the DT DT O
matter NN NN O
for IN IN O
decision NN NN O
by IN IN O
the DT DT O
Constitution NN NN O
Bench NN NN O

This DT DT O
appeal NN NN O
under IN IN O
Section NN NN B-Section
116B CD CD I-Section
of IN IN O
the DT DT O
Representation NN NN B-Act
of IN IN I-Act
the DT DT I-Act
People NNS NNS I-Act
Act NNP NNP I-Act
, , , I-Act
1951 CD CD I-Act
[ NN NN O
for IN IN O
short JJ JJ O
, , , O
the DT DT O
` `` `` O
Act NNP NNP O
'] NNS NNS O
arises NNS NNS O
from IN IN O
the DT DT O
judgment NN NN O
dated VBN VBN O
December NNP NNP O
24 CD CD O
, , , O
1991 CD CD O
of IN IN O
the DT DT O
Bombay NN NN O
High JJ JJ O
Court NNP NNP O
passed VBN VBN O
in IN IN O
Election NN NN O
Petition NN NN O
No DT DT O
. . . O
11 CD CD O
of IN IN O
1991 CD CD O

The DT DT O
respondent NN NN O
, , , O
since IN IN O
deceased VBN VBN O
, , , O
his PRP$ PRP$ O
legal JJ JJ O
representatives NNS NNS O
have VB VB O
been VBN VBN O
brought NN NN O
on IN IN O
record NN NN O
and CC CC O
a DT DT O
notice NN NN O
, , , O
as IN IN O
required VBN VBN O
under IN IN O
the DT DT O
Act NNP NNP O
, , , O
was VBD VBD O
also RB RB O
duly NN NN O
published VBN VBN O

He PRP PRP O
contested VBN VBN O
as IN IN O
a DT DT O
Congress NNP NNP O
Party NNP NNP O
candidate NN NN O
in IN IN O
the DT DT O
election NN NN O
to TO TO O
No DT DT O
. . . O
40 CD CD O
, , , O
Santacruz NN NN O
Legislative JJ JJ O
Assembly RB RB O
Constituency NN NN O
in IN IN O
1990 CD CD O
for IN IN O
the DT DT O
Maharashtra NNP NNP O
State NN NN O
Assembly RB RB O

The DT DT O
appellant NN NN O
is VBZ VBZ O
the DT DT O
returned VBN VBN O
candidate NN NN O
who WP WP O
filed VBN VBN O
his PRP$ PRP$ O
nomination NN NN O
on IN IN O
January NNP NNP O
31 CD CD O
, , , O
1990 CD CD O
which WDT WDT O
was VBD VBD O
accepted JJ JJ O
on IN IN O
February NNP NNP O
8 CD CD O
, , , O
1990 CD CD O

The DT DT O
poll NN NN O
was VBD VBD O
held NN NN O
on IN IN O
February NNP NNP O
27 CD CD O
, , , O
1990 CD CD O

The DT DT O
result NN NN O
of IN IN O
the DT DT O
election NN NN O
was VBD VBD O
declared VBN VBN O
on IN IN O
March NNP NNP O
1 CD CD O
, , , O
1990 CD CD O
declaring VBG VBG O
that IN IN O
the DT DT O
appellant NN NN O
was VBD VBD O
duly NN NN O
elected VBN VBN O

He PRP PRP O
contested VBN VBN O
election NN NN O
as IN IN O
a DT DT O
BJP NN NN O
candidate NN NN O
and CC CC O
was VBD VBD O
also RB RB O
Vice NNP NNP O
President NNP NNP O
of IN IN O
the DT DT O
Bombay NN NN O
Unit NN NN O
of IN IN O
the DT DT O
said VBD VBD O
party NN NN O

He PRP PRP O
secured VBN VBN O
single JJ JJ O
largest JJS JJS O
majority NN NN O
votes NNS NNS O
while IN IN O
the DT DT O
respondent NN NN O
secured VBN VBN O
second JJ JJ O
largest JJS JJS O

By IN IN O
judgment NN NN O
dated VBN VBN O
December NNP NNP O
19 CD CD O
, , , O
1991 CD CD O
the DT DT O
High JJ JJ O
Court NNP NNP O
allowed VBN VBN O
the DT DT O
election NN NN O
petition NN NN O

In IN IN O
paragraph NN NN O
186 CD CD O
, , , O
the DT DT O
High JJ JJ O
Court NNP NNP O
held NN NN O
that IN IN O
" NN NN O
the DT DT O
voluminous JJ JJ O
oral JJ JJ O
as IN IN O
well RB RB O
as IN IN O
documentary NN NN O
evidence NN NN O
leaves NNS NNS O
no DT DT O
room NN NN O
for IN IN O
doubt NN NN O
that IN IN O
the DT DT O
plank NN NN O
of IN IN O
Hindutva NN NN O
/ NN NN O
Hinduism NN NN O
/ NN NN O
Hindu NN NN O
was VBD VBD O
used VBN VBN O

In IN IN O
paragraph NN NN O
187 CD CD O
it PRP PRP O
is VBZ VBZ O
held NN NN O
that IN IN O
" NN NN O
it PRP PRP O
is VBZ VBZ O
clear JJ JJ O
from IN IN O
the DT DT O
voluminous JJ JJ O
material NN NN O
on IN IN O
record NN NN O
that IN IN O
the DT DT O
campaign NN NN O
was VBD VBD O
on IN IN O
the DT DT O
basis NN NN O
of IN IN O
appealing VBG VBG O
for IN IN O
votes NNS NNS O
on IN IN O
the DT DT O
basis NN NN O
of IN IN O
1st CD CD O
Respondent NN NN O
' '' '' O
s NN NN O
community NN NN O
and CC CC O
religion NN NN O
, , , O
i NN NN O
. . . O
e NN NN O
., NN NN O
the DT DT O
Hindu NN NN O
community NN NN O
and CC CC O
religion NN NN O
and CC CC O
that IN IN O
there RB RB O
was VBD VBD O
an DT DT O
attempt NN NN O
to TO TO O
create NN NN O
enmity NN NN O
and CC CC O
hatred VBN VBN O
between IN IN O
different JJ JJ O
classes NNS NNS O
of IN IN O
citizens NNS NNS O
on IN IN O
the DT DT O
basis NN NN O
of IN IN O
religion NN NN O
, , , O
community NN NN O
and CC CC O
caste NN NN O
particularly RB RB O
between IN IN O
the DT DT O
Hindus NN NN O
and CC CC O
Muslims NNS NNS O

In IN IN O
paragraph NN NN O
198 CD CD O
it PRP PRP O
is VBZ VBZ O
further RB RB O
held NN NN O
that IN IN O
" NN NN O
prima NN NN O
facie NN NN O
, , , O
it PRP PRP O
does VBZ VBZ O
appear VB VB O
that IN IN O
the DT DT O
leaders NNS NNS O
have VB VB O
appealed VBD VBD O
for IN IN O
votes NNS NNS O
for IN IN O
the DT DT O
Hindu NN NN O
candidates NNS NNS O
of IN IN O
the DT DT O
two CD CD O
parties NNS NNS O
on IN IN O
the DT DT O
basis NN NN O
of IN IN O
their PRP$ PRP$ O
religion NN NN O
and CC CC O
community NN NN O

Prima NN NN O
facie NN NN O
, , , O
it PRP PRP O
does VBZ VBZ O
appear VB VB O
that IN IN O
the DT DT O
leaders NNS NNS O
did VBD VBD O
attempt NN NN O
to TO TO O
create NN NN O
enmity NN NN O
and CC CC O
hatred VBN VBN O
between IN IN O
different JJ JJ O
classes NNS NNS O
of IN IN O
citizen NN NN O
on IN IN O
the DT DT O
grounds NNS NNS O
of IN IN O
community NN NN O
and CC CC O
religion NN NN O

In IN IN O
paragraph NN NN O
197 CD CD O
, , , O
it PRP PRP O
is VBZ VBZ O
held NN NN O
that IN IN O
"[ NN NN O
I PRP PRP O
] NN NN O
n NN NN O
my PRP$ PRP$ O
view NN NN O
, , , O
it PRP PRP O
will MD MD O
have VB VB O
to TO TO O
be VB VB O
held NN NN O
that IN IN O
the DT DT O
tape NN NN O
recordings NNS NNS O
contain NN NN O
the DT DT O
speeches NNS NNS O
made VBN VBN O
at IN IN O
these DT DT O
meetings NNS NNS O

This DT DT O
is VBZ VBZ O
course NN NN O
is VBZ VBZ O
subject NN NN O
to TO TO O
hearing NN NN O
the DT DT O
leaders NNS NNS O
of IN IN O
these DT DT O
two CD CD O
parties NNS NNS O
on IN IN O
the DT DT O
Notices NNS NNS O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
of IN IN O
the DT DT O
Representation NN NN B-Act
of IN IN I-Act
the DT DT I-Act
People NNS NNS I-Act
Act NNP NNP I-Act
, , , I-Act
1951 CD CD I-Act
which WDT WDT O
have VB VB O
been VBN VBN O
issued VBN VBN O
to TO TO O
them PRP PRP O
in IN IN O
Election NN NN O
Petition NN NN O
No DT DT O
. . . O
21 CD CD O
of IN IN O
1990 CD CD O

Shri NN NN O
A DT DT O
. . . O
M NN NN O

Khanwilkar NNP NNP O
, , , O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
appellant NN NN O
, , , O
contended VBN VBN O
that IN IN O
in IN IN O
view NN NN O
of IN IN O
the DT DT O
decisions NNS NNS O
of IN IN O
this DT DT O
Court NNP NNP O
in IN IN O
Suryakant NN NN B-Case
Venkatrao NN NN I-Case
Mahadik NN NN I-Case
v NN NN I-Case
. . . I-Case
Smt NN NN I-Case

Saroj NN NN I-Case
Sandesh NN NN I-Case
Naik NN NN I-Case
[ NN NN I-Case
Bhosale NN NN I-Case
] NN NN I-Case
[( NN NN B-Cite
1996 CD CD I-Cite
) ) ) I-Cite
1 CD CD I-Cite
SCC NN NN I-Cite
384 CD CD I-Cite
], NN NN O
Ramakant NN NN B-Case
Mayekar NN NN I-Case
v NN NN I-Case
. . . I-Case
Smt NN NN I-Case

Celine NN NN I-Case
D NN NN I-Case
' '' '' I-Case
Silva NN NN I-Case
[ NN NN B-Cite
1996 CD CD I-Cite
) ) ) I-Cite
1 CD CD I-Cite
SCC NN NN I-Cite
399 CD CD I-Cite
], NN NN O
[ NN NN B-Cite
1996 CD CD I-Cite
) ) ) I-Cite
1 CD CD I-Cite
SCC NN NN I-Cite
378 CD CD I-Cite
], NN NN O
Prof NN NN B-Case

Ramchandra NN NN I-Case
G NN NN I-Case
. . . I-Case
Kapse NN NN I-Case
etc NN NN I-Case
. . . O
v NN NN I-Case
. . . O
Haribansh NN NN I-Case
Ramakbal JJ JJ I-Case
Singh NN NN I-Case
etc NN NN O
. . . O
[ NN NN B-Cite
1996 CD CD I-Cite
) ) ) I-Cite
1 CD CD I-Cite
SCC NN NN I-Cite
206 CD CD I-Cite
], NN NN O
Moreshwar NN NN B-Case
Save VB VB I-Case
v NN NN I-Case
. . . I-Case
Dwarkadas NNS NNS I-Case
Yashwantrao NN NN I-Case
Pathrikar NN NN I-Case
[ NN NN B-Cite
1996 CD CD I-Cite
) ) ) I-Cite
1 CD CD I-Cite
SCC NN NN I-Cite
394 CD CD I-Cite
] NN NN I-Cite
the DT DT O
findings NNS NNS O
recorded VBN VBN O
under IN IN O
Sections NNS NNS B-Section
123 CD CD I-Section
